learner_id,gender,age,education_level,course_type,learning_mode,region,device_type,study_hours_per_week,videos_watched,forum_posts,assignments_completed_score,quiz_score,engagement_score,final_score,participation_level,completion_status,performance_category
LRN00001,Male,30,Undergraduate,Business,Blended,Upper Egypt,Mobile,7.2,26 videos,4,73.4,75.1,69.1,64.70603073,High,Completed,Good
LRN00002,Male,34,Graduate,Business,Self-paced,Delta,Laptop,9.3,22 videos,5,69.8,85.8,76.3,69.85945886,High,Completed,Very Good
LRN00003,Female,22,Graduate,Business,Blended,Cairo,Mobile,8.6,27 videos,2,90.1,88.1,77,80.39895378,High,Completed,Excellent
LRN00004,Female,23,Undergraduate,Design,Self-paced,Delta,Tablet,6.8,22 videos,3,46.3,69.9,52.3,59.60415571,Medium,Not Completed,Good
LRN00005,Female,21,Undergraduate,Business,Self-paced,Cairo,Mobile,1,11 videos,3,17.2,42.3,15,26.33923472,Low,Not Completed,Needs Support
LRN00006,Male,16,Professional,Business,Self-paced,Other,Mobile,3.3,21 videos,2,63.4,55.8,49.6,52.99771876,Medium,Not Completed,Good
LRN00007,Male,16,Undergraduate,Design,Self-paced,Delta,Laptop,8.4,24 videos,3,62,73.5,70,60.85797884,High,Completed,Good
LRN00008,Female,24,Graduate,Design,Blended,Giza,Mobile,5.3,17 videos,5,76.6,96.7,58.3,69.52202403,Medium,Completed,Very Good
LRN00009,Male,35,Graduate,Data Analysis,Blended,Cairo,Mobile,1.9,7 videos,3,54.2,63.4,43.5,53.38866037,Medium,Not Completed,Good
LRN00010,Male,27,Graduate,Programming,Self-paced,Delta,Tablet,3.1,13 videos,5,67.6,54.8,41.2,49.4335573,Low,Not Completed,Needs Support
LRN00011,Female,21,Undergraduate,Data Analysis,Self-paced,Alexandria,Mobile,4.7,23 videos,2,58.2,63.7,49.8,49.35485062,Medium,Not Completed,Needs Support
LRN00012,Male,22,Graduate,Business,Blended,Upper Egypt,Mobile,2.6,5 videos,3,46.8,71.1,36.7,46.16775277,Low,Not Completed,Needs Support
LRN00013,Male,32,High School,Business,Instructor-led,Cairo,Tablet,8.4,32 videos,5,95.7,91,100,87.68075645,High,Completed,Excellent
LRN00014,Male,30,Undergraduate,Data Analysis,Self-paced,Cairo,Tablet,10.2,22 videos,5,86.5,70.6,78.5,75.82613505,High,Completed,Very Good
LRN00015,Female,26,Graduate,Design,Self-paced,Alexandria,Laptop,7.3,17 videos,2,50.9,60.1,52.7,45.92934429,Medium,Not Completed,Needs Support
LRN00016,Female,27,Undergraduate,Data Analysis,Instructor-led,Cairo,Laptop,13.9,40 videos,7,99.9,100,100,92.90795638,High,Completed,Excellent
LRN00017,Female,24,Graduate,Data Analysis,Instructor-led,Upper Egypt,Mobile,4.9,25 videos,7,66.4,79.4,80.5,64.37078579,High,Completed,Good
LRN00018,Female,26,Undergraduate,Design,Self-paced,Alexandria,Laptop,12.1,25 videos,6,85.1,79.8,94.3,77.41732076,High,Completed,Very Good
LRN00019,Male,30,Graduate,AI Fundamentals,Blended,Cairo,Mobile,6.5,21 videos,4,68.5,75,61.4,67.50653975,Medium,Completed,Very Good
LRN00020,Male,18,Undergraduate,Design,Instructor-led,Upper Egypt,Laptop,11.2,18 videos,4,81.7,98.8,86,79.9773093,High,Completed,Very Good
LRN00021,Male,35,Graduate,Business,Self-paced,Delta,Laptop,3.9,4 videos,1,34.8,46.6,24.4,30.13211448,Low,Not Completed,Needs Support
LRN00022,Female,23,Graduate,Business,Blended,Upper Egypt,Laptop,10.2,24 videos,3,82.6,93.9,75.7,72.74004348,High,Completed,Very Good
LRN00023,Male,22,High School,Design,Self-paced,Delta,Tablet,1.9,19 videos,4,62.5,64,57.5,50.17226534,Medium,Not Completed,Good
LRN00024,Female,30,Professional,Data Analysis,Self-paced,Cairo,Tablet,3.6,7 videos,0,49.6,60.4,33.9,39.52376866,Low,Not Completed,Needs Support
LRN00025,Male,26,Graduate,AI Fundamentals,Self-paced,Cairo,Laptop,12.9,37 videos,2,100,89,97,81.54609119,High,Completed,Excellent
LRN00026,Male,29,Undergraduate,Programming,Blended,Giza,Laptop,6.2,18 videos,6,49.4,71.2,54.2,48.62014937,Medium,Not Completed,Needs Support
LRN00027,Female,34,Graduate,AI Fundamentals,Blended,Other,Mobile,6.7,16 videos,5,84.9,70.9,74.7,62.18728648,High,Completed,Good
LRN00028,Female,20,Graduate,Programming,Self-paced,Giza,Tablet,4.6,22 videos,1,60,51.5,38.7,40.64083805,Low,Not Completed,Needs Support
LRN00029,Male,16,Graduate,Programming,Self-paced,Cairo,Laptop,1.6,15 videos,1,29,61.7,24.2,36.96026361,Low,Not Completed,Needs Support
LRN00030,Male,29,High School,Data Analysis,Blended,Delta,Laptop,1.6,20 videos,3,75,48.1,49.9,37.04508739,Medium,Not Completed,Needs Support
LRN00031,Male,20,High School,Programming,Self-paced,Cairo,Mobile,1,15 videos,5,77.6,38.9,46.6,39.62623376,Medium,Not Completed,Needs Support
LRN00032,Male,30,High School,Data Analysis,Self-paced,Giza,Mobile,1,14 videos,1,57.6,59.8,42.6,44.14935046,Medium,Not Completed,Needs Support
LRN00033,Female,34,High School,Business,Instructor-led,Alexandria,Laptop,6.8,34 videos,7,88.3,94,100,86.1581231,High,Completed,Excellent
LRN00034,Female,24,Professional,AI Fundamentals,Self-paced,Cairo,Laptop,7.9,23 videos,0,62,87.8,58.8,63.0803648,Medium,Completed,Good
LRN00035,Male,19,Undergraduate,AI Fundamentals,Blended,Delta,Laptop,3.9,9 videos,2,42.6,66.2,26.2,41.41338316,Low,Not Completed,Needs Support
LRN00036,Female,29,Graduate,Business,Instructor-led,Cairo,Laptop,8.5,24 videos,4,80.3,59.8,83.2,64.00526648,High,Completed,Good
LRN00037,Male,24,Undergraduate,Business,Blended,Alexandria,Laptop,12.8,30 videos,8,85.7,100,97,76.94656173,High,Completed,Very Good
LRN00038,Male,22,Graduate,AI Fundamentals,Self-paced,Giza,Laptop,6.5,19 videos,4,47.8,65.4,52.6,53.8554655,Medium,Not Completed,Good
LRN00039,Female,28,High School,Programming,Instructor-led,Cairo,Mobile,3.9,25 videos,3,57.4,55.1,82.3,56.30210785,High,Not Completed,Good
LRN00040,Female,32,High School,Data Analysis,Self-paced,Delta,Tablet,3.6,20 videos,2,70.6,57.8,56.9,56.2124808,Medium,Not Completed,Good
LRN00041,Female,25,Graduate,AI Fundamentals,Self-paced,Cairo,Laptop,11.2,30 videos,7,92.9,85.6,91.6,92.99424027,High,Completed,Excellent
LRN00042,Female,43,Graduate,Programming,Instructor-led,Other,Mobile,8.6,38 videos,2,85.2,76.6,96.4,67.77739199,High,Completed,Very Good
LRN00043,Female,44,Graduate,Business,Blended,Cairo,Mobile,11.3,39 videos,5,91.7,96.9,96.8,77.79986668,High,Completed,Very Good
LRN00044,Male,32,Undergraduate,Programming,Self-paced,Cairo,Mobile,4.9,14 videos,3,88.6,61.3,58.7,62.79433657,Medium,Completed,Good
LRN00045,Female,33,Professional,AI Fundamentals,Self-paced,Upper Egypt,Tablet,6.1,17 videos,6,64.6,61.8,60.9,53.15255449,Medium,Not Completed,Good
LRN00046,Female,38,Graduate,Data Analysis,Blended,Delta,Mobile,3.8,16 videos,4,58,81.5,52.7,51.67685873,Medium,Not Completed,Good
LRN00047,Female,33,Undergraduate,AI Fundamentals,Self-paced,Cairo,Laptop,11.4,24 videos,7,91.2,82.9,93.7,78.26218766,High,Completed,Very Good
LRN00048,Male,26,Undergraduate,Data Analysis,Instructor-led,Delta,Laptop,8.7,21 videos,2,87.1,86.5,85.1,72.93828187,High,Completed,Very Good
LRN00049,Female,17,High School,Data Analysis,Self-paced,Cairo,Mobile,1.6,21 videos,5,62.1,64.6,62.7,60.57888534,Medium,Completed,Good
LRN00050,Female,25,Undergraduate,Business,Instructor-led,Cairo,Laptop,9.3,26 videos,6,56.3,87.6,86.4,80.76406152,High,Completed,Excellent
LRN00051,Female,21,Undergraduate,Data Analysis,Self-paced,Cairo,Mobile,4.6,20 videos,1,55.1,70.3,49.5,43.78219354,Medium,Not Completed,Needs Support
LRN00052,Male,31,Undergraduate,AI Fundamentals,Blended,Alexandria,Laptop,5.3,21 videos,1,48.3,41.1,37.5,30.81725593,Low,Not Completed,Needs Support
LRN00053,Male,27,Professional,Data Analysis,Instructor-led,Cairo,Tablet,12.3,28 videos,6,69.4,89.8,100,74.82315998,High,Completed,Very Good
LRN00054,Male,25,Graduate,Design,Instructor-led,Giza,Mobile,7.8,28 videos,5,99.6,84,89.5,74.99235979,High,Completed,Very Good
LRN00055,Female,23,Graduate,AI Fundamentals,Self-paced,Alexandria,Mobile,3.4,17 videos,4,78.5,64.5,52.1,51.46369777,Medium,Not Completed,Good
LRN00056,Male,26,High School,AI Fundamentals,Instructor-led,Delta,Laptop,2.8,17 videos,6,70.1,86.5,67.7,62.6088291,Medium,Completed,Good
LRN00057,Male,32,High School,AI Fundamentals,Blended,Cairo,Tablet,8.1,31 videos,7,96.1,94,97,80.570826,High,Completed,Excellent
LRN00058,Female,22,Professional,Data Analysis,Self-paced,Cairo,Laptop,10,30 videos,0,82.5,76.3,67.6,62.08193704,High,Completed,Good
